,2015-19,2020-24,2025-26
st_reversal_21d,0.03596051734395692,-0.011242117693527866,-0.052521423082846776
sector_rel_mom_12_1,-0.0005944013560949017,0.002460721566711288,-0.0026696079591497965
residual_mom_12_1,-0.0004780280863344253,0.010195230969552034,-0.0016865892455378247
ivol_60d_low,0.0029703617090269035,0.006232092559858186,-0.01499141476899908
dispersion_resid_21d,0.013245886692594492,-0.004849050458161536,-0.04364125206015829
volume_shock,0.0064081238222972675,-0.006676481152883979,0.010231798499282673
overnight_share_126d,0.004885299614534012,-0.005272665848318846,-0.01995682686120099
gap_persistence_63d,0.0006259040685876336,-0.004193358739130452,0.031367029622092105
low_vol_60d,0.0064657923374569345,-0.0036868514336825366,-0.06689687504802674
high_52w_prox,-0.008696358880035875,0.009915151886414501,-0.008758516322635973
