,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
st_reversal_21d,0.004614348544549229,0.06454584990021878,0.006902051524864343,0.05624894158323327,0.04749139516691899,-0.07046290617086824,0.023270649832440617,0.04697451298760355,-0.007434647100508077,-0.048558198016307196,-0.0452874181190071,-0.08145744293820546
sector_rel_mom_12_1,0.08527978082725253,-0.10181350441543478,0.02863959759537855,0.000568039839755415,-0.015645920627426216,-0.02566590264638244,-0.06106012649359422,0.00719123143273558,0.030689080257889304,0.06114932528290822,-0.03241843526097314,0.11632570124814358
residual_mom_12_1,0.09636985769229833,-0.10443798183181034,0.04086959472859816,0.005221206640133734,-0.024271503364453228,-0.018495966697646634,-0.043161590769178255,0.013168789772617324,0.041588201378637925,0.057876721163329814,-0.02726316753447359,0.10061972391020524
ivol_60d_low,0.06197761880902931,-0.07389172716515993,-0.006592299669551593,0.03324804833605449,0.00011016823476223819,-0.07795725785778491,0.06399251716207427,0.021316529730362535,0.016881103451425163,0.006927570313213875,-0.04837103510818506,0.11852706658774485
dispersion_resid_21d,-0.011081174984246345,0.02666360941792145,-0.006583177234224177,0.049662384731859466,0.007567791531662069,-0.027385749858591952,0.024586893890397938,0.024999803567674648,-0.007737706195697617,-0.038708493694590694,-0.05011524253718539,-0.017745290152049894
volume_shock,0.01794868225452095,0.02364090175130815,-0.03900843033122339,0.011115022995036021,0.01834444244184461,-0.0011229813226834226,0.026471345910739203,0.006816214099472619,-0.033957848784348516,-0.031589135667599785,0.013601740428505397,-0.0032479692176082264
overnight_share_126d,0.06774741312163574,-0.019796830042720776,0.015803538239962826,-0.02606919291716828,-0.013258430329039445,0.05317160866053409,-0.01759034031263987,-0.04272326730926936,-0.03267665118633476,0.013455320906115674,-0.04399097067799856,0.07617974840598929
gap_persistence_63d,0.00836209238708508,0.0005240378393562218,0.014316932906324518,-0.04015467070197442,0.02008112791214677,-0.024100389036396854,0.0037306642571953382,0.009258630058780448,-0.02666242289982609,0.016806723924594896,0.05224398543472464,-0.05214079362843801
low_vol_60d,0.08164733435167228,-0.09436419841698122,0.009565747536760668,0.05255018982113071,-0.017070111605297773,-0.08227129019339173,0.02528019903976533,0.01233823862483576,0.023194209387555134,0.0030243859728228428,-0.09907743430005807,0.06182536196009855
high_52w_prox,0.09875978687628933,-0.1302410687513631,0.03481052754074012,-0.01824486029998224,-0.02856617976586351,-0.007085904588706677,-0.03334550895221013,0.0006359659814394273,0.03162435496278449,0.057746852028765394,-0.03897704226789058,0.11211558745838246
